Table:	NopsData										
SkiYear	Event	AgeGroup	SortSeq	Base	Adj	RatingMedian	RatingRec	RatingOpen	OverallBase	OverallExp	EventsReqd
14	Jump	W5	3	1500	16.05	50	107	0	0	1.115	3	
14	Slalom	W6	1	1500	0	64.5	89	0	8	3.336	3	
14	Trick	W6	2	15000	0	1100	3780	0	0	0.89	3	
14	Jump	W6	3	1500	14.25	45	95	0	0	1.138	3	
14	Slalom	W7	1	1500	0	66.5	80	0	8	5.794	3	
14	Trick	W7	2	15000	0	900	3330	0	0	0.84	3	
14	Jump	W7	3	1500	10.35	40	69	0	0	1.611	3	
14	Slalom	W8	1	1500	0	60	75.5	0	8	4.625	2	
14	Trick	W8	2	15000	0	700	2270	0	0	0.934	2	
14	Jump	W8	3	1500	8.55	36	57	0	0	1.934	2	
14	Slalom	W9	1	1500	0	50	65.5	0	8	3.867	2	
14	Trick	W9	2	15000	0	500	1670	0	0	0.911	2	
14	Jump	W9	3	1500	6.75	32	45	0	0	2.645	2	
14	Slalom	WA	1	1500	0	40	56	0	8	3.026	2	
14	Trick	WA	2	15000	0	300	1220	0	0	0.783	2	
14	Jump	WA	3	1500	4.8	29	32	0	0	9.401	2	
14	Slalom	WB	1	1500	0	30	40	0	8	3.351	2	
14	Trick	WB	2	15000	0	200	600	0	0	1	2	
14	Jump	WB	3	1500	4.8	27	32	0	0	5.409	2	
14	Slalom	OM	1	1500	0	85	122	0	8	3.038	3	
14	Trick	OM	2	15000	0	1200	12090	0	0	0.476	3	
14	Jump	OM	3	1500	37.05	109	247	0	0	1.026	3	
14	Slalom	OW	1	1500	0	68	111	0	8	2.215	3	
14	Trick	OW	2	15000	0	1300	9230	0	0	0.56	3	
14	Jump	OW	3	1500	26.4	86	176	0	0	1.194	3	
14	Slalom	MM	1	1500	0	89.5	115.25	0	8	4.342	3	
14	Trick	MM	2	15000	0	1550	11570	0	0	0.547	3	
14	Jump	MM	3	1500	32.25	133	215	0	0	1.845	3	
14	Slalom	NM	1	1500	0	73	121	0	8	2.16	3	
14	Trick	NM	2	15000	0	800	11070	0	0	0.418	3	
14	Jump	NM	3	1500	31.35	87	209	0	0	0.946	3	
14	Slalom	NW	1	1500	0	57	109	0	8	1.66	3	
14	Trick	NW	2	15000	0	700	8930	0	0	0.431	3	
14	Jump	NW	3	1500	23.25	46	155	0	0	0.626	3	
14	Slalom	CM	1	1500	0	73	121	0	8	2.16	3	
